multiplets,pos_in_ppm,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
metabolite55,5.2858,n,n,n,n,n,n,n,n,n,n
metabolite55,4.3785,n,n,n,n,n,n,n,n,n,n
metabolite55,4.2529,n,n,n,n,n,n,n,n,n,n
metabolite55,4.1967,n,n,n,n,n,n,n,n,n,n
metabolite55,2.2318,n,n,n,n,n,n,n,n,n,n
metabolite55,2.1618,n,n,n,n,n,n,n,n,n,n
metabolite55,2.1162,n,n,n,n,n,n,n,n,n,n
metabolite55,2.0784,n,n,n,n,n,n,n,n,n,n
metabolite55,2.03,n,n,n,n,n,n,n,n,n,n
metabolite56,7.5307,n,n,n,n,n,n,n,n,n,n
metabolite56,5.7989,n,n,n,n,n,n,n,n,n,n
metabolite57,7.1806,n,n,n,n,n,n,n,n,n,n
metabolite57,6.8929,n,n,n,n,n,n,n,n,n,n
metabolite57,3.1932,n,n,n,n,n,n,n,n,n,n
metabolite57,3.0685,n,n,n,n,n,n,n,n,n,n
metabolite57,3.0247,n,n,n,n,n,n,n,n,n,n
metabolite58,4.074,n,n,n,n,n,n,n,n,n,n
metabolite58,3.3733,n,n,n,n,n,n,n,n,n,n
metabolite58,3.3278,n,n,n,n,n,n,n,n,n,n
metabolite58,3.1141,n,n,n,n,n,n,n,n,n,n
metabolite58,3.0221,n,n,n,n,n,n,n,n,n,n
metabolite59,7.8569,n,n,n,n,n,n,n,n,n,n
metabolite59,7.5569,n,n,n,n,n,n,n,n,n,n
metabolite59,7.4785,n,n,n,n,n,n,n,n,n,n
metabolite60,8.2399,n,n,n,n,n,n,n,n,n,n
metabolite60,8.1865,n,n,n,n,n,n,n,n,n,n
metabolite61,0.0003,n,n,n,n,n,n,n,n,n,n
